40.0,1049.08

38.0,1051.23

36.0,1053.61

34.0,1056.24

32.0,1059.2

30.0,1062.54

29.0,1064.38

28.0,1066.35

27.0,1068.47

26.0,1070.75

25.0,1073.21

24.0,1075.87

23.0,1078.77

22.0,1081.92

21.0,1085.36

20.0,1089.13

19.0,1093.29

18.0,1097.9

17.0,1103.02

16.0,1108.78

15.0,1115.29

14.0,1122.72

13.0,1131.3

12.0,1141.28

11.0,1153.01

10.0,1166.92

9.0,1183.73

8.0,1204.75

7.0,1231.55

6.0,1266.58

5.5,1288.79

5.0,1315.07

4.8,1327.08

4.6,1340.08

4.4,1354.2

4.2,1369.58

4.0,1386.41

3.8,1404.9

3.6,1425.32

3.4,1447.99

3.2,1473.34

3.0,1501.9

2.8,1534.38

2.6,1571.69

2.4,1615.01

2.2,1665.9

2.0,1726.4

1.8,1799.38

1.6,1889.42

1.4,2005.18

1.2,2162.93

1.15,2211.3

1.1,2263.65

1.05,2320.08

1.0,2380.77

0.95,2446.94

0.9,2523.01

0.85,2609.1

0.8,2704.6

0.75,2812.42

0.7,2936.57

0.65,3080.73

0.6,3250.53

0.55,3453.5

0.5,3700.52

0.48,3815.03

0.46,3940.33

0.44,4078.03

0.42,4230.02

0.4,4398.49

0.38,4586.35

0.36,4797.02

0.34,5034.68

0.32,5304.98

0.3,5615.03

0.280,5974.48

0.260,6396.63

0.240,6900.16

0.220,7512.68

0.200,8277.06

0.190,8735.86

0.190,9261.11

0.170,9868.6

0.160,10579.6

0.150,11421.6

0.140,12431.6

0.130,13658.2

0.120,15165.5

0.110,17039.1

0.100,19400.5

0.095,20820.3

0.090,22443.7

0.085,24330.7

0.080,26563.6

0.075,29253.3

0.070,32601.3

0.065,37123.9

0.060,43515.8

0.055,52106.7

0.050,63765.1

